SOLAR-7,SOLAR-13,SOLAR-11,SOLAR-2,SOLAR-5,SOLAR-15,SOLAR-12,SOLAR-6,SOLAR-1,SOLAR-9,SOLAR-8,SOLAR-16,SOLAR-17,SOLAR-14,SOLAR-10,SOLAR-3,SOLAR-4,SOLAR-18,time_CST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T00:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T01:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T02:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T03:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T04:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T05:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T06:00:00Z
0.03666666666666667,0.18426966292134833,0.18426966292134833,0.22222222222222224,0.358683314415437,0.03666666666666667,0.358683314415437,0.358683314415437,0.358683314415437,0.03666666666666667,0.358683314415437,0.11666666666666665,0.358683314415437,0.013333333333333332,0.358683314415437,0.358683314415437,0.22222222222222224,0.048888888888888885,2016-02-05T07:00:00Z
0.7544444444444445,0.7067415730337079,0.7067415730337079,0.6240179573512907,0.7775255391600454,0.7544444444444445,0.7775255391600454,0.7775255391600454,0.7775255391600454,0.7544444444444445,0.7775255391600454,0.40777777777777774,0.7775255391600454,0.3577777777777778,0.7775255391600454,0.7775255391600454,0.6240179573512907,0.2333333333333333,2016-02-05T08:00:00Z
0.9177777777777777,0.8606741573033708,0.8606741573033708,0.8204264870931537,0.8910329171396141,0.9177777777777777,0.8910329171396141,0.8910329171396141,0.8910329171396141,0.9177777777777777,0.8910329171396141,0.6511111111111111,0.8910329171396141,0.8677777777777778,0.8910329171396141,0.8910329171396141,0.8204264870931537,0.33555555555555555,2016-02-05T09:00:00Z
0.9755555555555555,0.9146067415730337,0.9146067415730337,0.7328843995510662,0.9284903518728717,0.9755555555555555,0.9284903518728717,0.9284903518728717,0.9284903518728717,0.9755555555555555,0.9284903518728717,0.6833333333333333,0.9284903518728717,0.9222222222222222,0.9284903518728717,0.9284903518728717,0.7328843995510662,0.6577777777777777,2016-02-05T10:00:00Z
0.9944444444444445,0.9303370786516854,0.9303370786516854,0.7957351290684623,0.9409761634506243,0.9944444444444445,0.9409761634506243,0.9409761634506243,0.9409761634506243,0.9944444444444445,0.9409761634506243,0.6333333333333333,0.9409761634506243,0.9333333333333332,0.9409761634506243,0.9409761634506243,0.7957351290684623,0.911111111111111,2016-02-05T11:00:00Z
0.9833333333333333,0.9202247191011236,0.9202247191011236,0.8967452300785634,0.9194097616345063,0.9833333333333333,0.9194097616345063,0.9194097616345063,0.9194097616345063,0.9833333333333333,0.9194097616345063,0.7144444444444444,0.9194097616345063,0.9255555555555555,0.9194097616345063,0.9194097616345063,0.8967452300785634,0.911111111111111,2016-02-05T12:00:00Z
